original,corrected
geōmerian,geōmerian
geōmor-mōd,geōmor-mōd
geōmran,geōmran
geōmrian,geōmrian
geōtere,geōtere
gi-,gi-
gian,gian
gib,gib
giccan,giccan
giefernes,giefernes
gierian,gierian
gierwan,gierwan
giest,giest
gifan,gifan
gifre,gifre
gihsinga,gihsinga
gild,gild
gilden,gilden
gilpan,gilpan
gim-,gim-
gin,gin
gind,gind
ginfæste,ginfæste
giond,giond
giongor-scipe,giongor-scipe
girian,girian
girnan,girnan
girwan,girwan
giscian,giscian
gist,gist
giþ-corn,giþ-corn
giō,giō
glengista,glengista
gleāwlic,gleāwlic
glædlic,glædlic
god-gesprǣce,god-gesprǣce
gyfl,gyfl
gylden,gylden
gylden-feaxa,gylden-feaxa
gyltan,gyltan
gylting,gylting
gyrian,gyrian
gyrn,gyrn
gyrnan,gyrnan
gyrwan,gyrwan
gyst,gyst
gæfel-geroefa,gæfel-geroefa
gægl-bǣrnes,gægl-bǣrnes
gældan,gældan
gæleþ,gæleþ
gælæþ,gælæþ
gærs-bed,gærs-bed
gæst,gæst
gāst-gemynd,gāst-gemynd
gēn-dele,gēn-dele
gēsne,gēsne
gīmran,gīmran
gǣstlīc,gǣstlīc
haran-specel,haran-specel
healfpenig-wurþ,healfpenig-wurþ
healsfange,healsfange
heard-sǣlig,heard-sǣlig
hearp-swēg,hearp-swēg
heg-hūs,heg-hūs
hege-rife,hege-rife
heofancenned,heofancenned
heofon-cenned,heofon-cenned
heolfrig,heolfrig
hete-sprǣc,hete-sprǣc
heāflīc,heāflīc
heāh-geþring,heāh-geþring
hig-hūs,hig-hūs
hrace,hrace
hracing,hracing
hræce,hræce
hræd-sprǣce,hræd-sprǣce
hrægel,hrægel
hrǣcetung,hrǣcetung
hund-eahtatig,hund-eahtatig
hundteōntig-feald,hundteōntig-feald
hunig-swǣs,hunig-swǣs
hwæcce,hwæcce
hwīl-stycce,hwīl-stycce
hyge,hyge
hyge-frōfor,hyge-frōfor
hyge-rōf,hyge-rōf
hypebān-ece,hypebān-ece
hyse-cild,hyse-cild
hæg,hæg
hæg-sugga,hæg-sugga
hāl-wendlīc,hāl-wendlīc
hālig-dæg,hālig-dæg
hālig-mōnaþ,hālig-mōnaþ
hālig-wæcca,hālig-wæcca
hālig-wæter,hālig-wæter
hālsigend,hālsigend
hūsel-portic,hūsel-portic
hȳrig-mann,hȳrig-mann
in-gefeoht,in-gefeoht
in-gelǣdan,in-gelǣdan
in-gewinn,in-gewinn
in-geōtan,in-geōtan
in-segel,in-segel
laur-berige,laur-berige
leac-blæd,leac-blæd
leger-fæst,leger-fæst
leāg,leāg
leōht-sceāwigend,leōht-sceāwigend
lim-gesihþ,lim-gesihþ
losigend-līc,losigend-līc
lungen-ǣder,lungen-ǣder
lustlīce,lustlīce
lyft-fleōgend,lyft-fleōgend
lytig-līce,lytig-līce
læcing,læcing
lār-swic,lār-swic
līcettere,līcettere
lǣce-cræftig,lǣce-cræftig
mangian,mangian
margen,margen
merece,merece
micel-heāfded,micel-heāfded
mirce,mirce
mirige,mirige
mis-tūcian,mis-tūcian
missenlic-ness,missenlic-ness
morgen-gifu,morgen-gifu
morgen-wlǣtung,morgen-wlǣtung
myndgian,myndgian
myrgen-līc,myrgen-līc
myrige,myrige
mæg,mæg
mægen,mægen
mæsse-gierela,mæsse-gierela
mīdrece,mīdrece
mōdor-cynd,mōdor-cynd
mōt-gerēfa,mōt-gerēfa
mǣg-gemōt,mǣg-gemōt
mǣr-dic,mǣr-dic
niht-buttorfleōge,niht-buttorfleōge
niþer-stige,niþer-stige
nīd-māge,nīd-māge
nīge,nīge
ofer-cirr,ofer-cirr
ofer-gedyre,ofer-gedyre
ofer-gemet,ofer-gemet
ofer-geāre,ofer-geāre
ofer-gitness,ofer-gitness
ofer-gitol,ofer-gitol
ofer-hygdigian,ofer-hygdigian
ofer-lyftlic,ofer-lyftlic
ofer-micelness,ofer-micelness
on-geboren,on-geboren
on-gecoplīce,on-gecop-līce
on-geflogen,on-geflogen
on-styrigendlic,on-styrigendlic
on-wrigenness,on-wrigenness
onge,onge
orcen,orcen
orweg-stig,orweg-stig
panic,panic
plagian,plagian
plegian,plegian
pægel,pægel
recceleāslīce,recceleās-līce
reccend,reccend
regn-snegel,regn-snegel
roccettan,roccettan
rocettan,rocettan
rynelīce,rynelīce
rēce-leās,rēce-leās
rēceleāslīce,rēce-leās-līce
rēnig,rēnig
rīce,rīce
salowig,salowig
samod-geflit,samod-geflit
samod-gesīþ,samod-gesīþ
sciccels,sciccels
sciccing,sciccing
scinccing,scinccing
scrēc,scrēc
scrīc,scrīc
scyriendlīc,scyriendlīc
scīnendlīc,scīnendlīc
seeg,seeg
segl-gird,segl-gird
sendlīc,sendlīc
sige-beācen,sige-beācen
sige-hwīl,sige-hwīl
sige-mēce,sige-mēce
sige-tiber,sige-tiber
sige-þreāt,sige-þreāt
simbel-gefēra,simbel-gefēra
sinc-gimm,sinc-gimm
sleac,sleac
sleacian,sleacian
slec,slec
slege,slege
slæc,slæc
smǣte-gylden,smǣte-gylden
snāwig,snāwig
spircing,spircing
springe,springe
sprǣce,sprǣce
stearcian,stearcian
sterced-ferhþ,sterced-ferhþ
stician,stician
stig-fearh,stig-fearh
strycel,strycel
styrfig,styrfig
stærced-ferhþ,stærced-ferhþ
stæþhliplice,stæþhliplice
stān-gefeall,stān-gefeall
stānig,stānig
stīg,stīg
stīge,stīge
stǣnig,stǣnig
sulh-geteōh,sulh-geteōh
sulh-æcer,sulh-æcer
sund-gerd,sund-gerd
sund-gird,sund-gird
sundgerd,sundgerd
sundgyrd,sundgyrd
swangettung,swangettung
swefen-reccere,swefen-reccere
swegel,swegel
sweger,sweger
sweor-sceacel,sweor-sceacel
sweord-tyge,sweord-tyge
swician,swician
swēge,swēge
swēgend-līc,swēgend-līc
swīg-dæg,swīg-dæg
swīgen,swīgen
swōlig,swōlig
sæc-dōm,sæc-dōm
sægedness,sægedness
sām-cwic,sām-cwic
sīc,sīc
sīþegian,sīþegian
sūce,sūce
sǣ-ceaster,sǣ-ceaster
taccian,taccian
telge,telge
tigel-leāh,tigel-leāh
tigele,tigele
tin-tregian,tin-tregian
torn-gemōt,torn-gemōt
tweōnigend-līc,tweōnigend-līc
twidæg-līc,twidæg-līc
twēgentig,twēgentig
twēntig,twēntig
tādige,tādige
tīgere,tīgere
tō-līsendlīc,tō-līsendlīc
tō-stencean,tō-stencean
un-beseōndlīc,un-beseōndlīc
un-byrged,un-byrged
un-ceāp,un-ceāp
un-druncen,un-druncen
un-eāðlǣce,un-eāðlǣce
un-gebeāten,un-gebeāten
un-geclǣnsod,un-geclǣnsod
un-gecnāwen,un-gecnāwen
un-gedafenlīc,un-gedafenlīc
un-gefremed,un-gefremed
un-gefrætwod,un-gefrætwod
un-gefylled,un-gefylled
un-gefyrn,un-gefyrn
un-gefērendlīc,un-gefērendlīc
un-gefōg,un-gefōg
un-geheāfdod,un-geheāfdod
un-gehādod,un-gehādod
un-gemetfæstness,un-gemetfæstness
un-georne,un-georne
un-geregnod,un-geregnod
un-gerād,un-gerād
un-gerēdelīce,un-gerēde-līce
un-gerīm,un-gerīm
un-gesilt,un-gesilt
un-gesīnelīc,un-gesīnelīc
un-getǣse,un-getǣse
un-gewendendlīc,un-gewendendlīc
un-gewittiglīce,un-gewittiglīce
un-gewuna,un-gewuna
un-gewunelīce,un-gewune-līce
un-gewītendlīce,un-gewītend-līce
un-hālwendlīc,un-hālwendlīc
un-lygen,un-lygen
un-līfedlic,un-līfedlic
un-mennisclīc,un-mennisclīc
un-rǣdfæstlīce,un-rǣdfæstlīce
un-sceandlīce,un-sceandlīce
un-sefuntig,un-sefuntig
un-sæpig,un-sæpig
un-sȳferlīc,un-sȳferlīc
un-tamlīc,un-tamlīc
un-wittig,un-wittig
un-wērig,un-wērig
un-wītnigendlīce,un-wītnigend-līce
un-ālīfendlīce,un-ālīfendlīce
un-ārweorþlic,un-ārweorþlic
under-gerēfa,under-gerēfa
under-gitan,under-gitan
under-standendlīc,under-standendlīc
under-þeōdendlīc,under-þeōdendlīc
ungemet-lange,ungemet-lange
unriht-cyst,unriht-cyst
unriht-gestreōn,unriht-gestreōn
wan-hygdig,wan-hygdig
wed-bryce,wed-bryce
wel-gelīcod,wel-gelīcod
welig-stedende,welig-stedende
weorold-gerǣdness,weorold-gerǣdness
weorold-gewritu,weorold-gewritu
weorold-gilp,weorold-gilp
weorold-mæg,weorold-mæg
weorold-rīcetere,weorold-rīcetere
weorold-welig,weorold-welig
weoruldgewritu,weoruldgewritu
werig,werig
weā-gesiþ,weā-gesiþ
weōce,weōce
wil-bec,wil-bec
wil-hrēþig,wil-hrēþig
willīce,willīce
wip-geondan,wip-geondan
wirged,wirged
wirgend,wirgend
wiþer-sprecend,wiþer-sprecend
woruldgewrytu,woruldgewrytu
wrigels,wrigels
wræc,wræc
wræcce-ness,wræcce-ness
wrēgend-līc,wrēgend-līc
wudig,wudig
wyrcean,wyrcean
wāg-hrægel,wāg-hrægel
wīc-bora,wīc-bora
wīf-Þegen,wīf-Þegen
wīg-leōþ,wīg-leōþ
wīggebed,wīggebed
wīs-hygdig,wīs-hygdig
wīte-hrægel,wīte-hrægel
wīþig-brōc,wīþig-brōc
wǣg,wǣg
wǣg-þreā,wǣg-þreā
wǣge,wǣge
wǣpen-geþræc,wǣpen-geþræc
ymb-þringend,ymb-þringend
Æl-mehtig,Æl-mehtig
æ-blēc,æ-blēc
æce,æce
æcer-weg,æcer-weg
æfter-fylgendlīce,æfter-fylgendlīce
æfter-spræc,æfter-spræc
æfter-sprǣc,æfter-sprǣc
æg-līm,æg-līm
ælmes-georn,ælmes-georn
æmtegian,æmtegian
ænge,ænge
ærce-hād,ærce-hād
æt-bredendlīc,æt-bredendlīc
æt-gemman,æt-gemman
æt-gædere,æt-gædere
þeaclīce,þeac-līce
þegen-wer,þegen-wer
þeōw-beōcere,þeōw-beōcere
þillīc,þillīc
þrȳþ-gesteald,þrȳþ-gesteald
þurh-sceōtendlic,þurh-sceōtendlic
þurh-wæccendlīc,þurh-wæccendlīc
þyhtig,þyhtig
þyldigian,þyldigian
ā-berendlic,ā-berendlic
ā-borgian,ā-borgian
ā-cennan,ā-cennan
ā-cennicge,ā-cennicge
ā-giēta,ā-giēta
ā-hildendlic,ā-hildendlic
ā-mearcian,ā-mearcian
ā-wirgedlic,ā-wirgedlic
ā-wirgende,ā-wirgende
āblācian,āblācian
ābrocen,ābrocen
ācen,ācen
ācorenlīc,ācorenlīc
ādl-seōc,ādl-seōc
āge,āge
āgeara,āgeara
āgeat,āgeat
āgen-nama,āgen-nama
āgetan,āgetan
āgimmed,āgimmed
āgylde,āgylde
āloccian,āloccian
ān-cenned,ān-cenned
ān-cenneda,ān-cenneda
ān-leger,ān-leger
ār-cræftig,ār-cræftig
ār-gesweorf,ār-gesweorf
āscyrigendlīc,āscyrigendlīc
āslacigendlīc,āslacigendlīc
āweg,āweg
āwegyd,āwegyd
ēg-streām,ēg-streām
īdel-georn,īdel-georn
īsern-gelōma,īsern-gelōma
ōmig,ōmig
ǣ-cræftig,ǣ-cræftig
ǣ-mirce,ǣ-mirce
ǣfric,ǣfric
ǣn-īge,ǣn-īge
ǣn-īgge,ǣn-īgge
ǣðelīc,ǣðelīc
ȳcean,ȳcean
ȳþ-wōrigende,ȳþ-wōrigende
